state_abbr,year,month,date,recall_count,class_I,class_II,class_III
CA,2021,12,2021-12-01,87,82,5,0
CA,2022,1,2022-01-01,60,58,1,1
CA,2022,2,2022-02-01,16,4,12,0
CA,2022,3,2022-03-01,19,8,11,0
CA,2022,4,2022-04-01,6,4,1,1
CA,2022,5,2022-05-01,6,2,4,0
CA,2022,6,2022-06-01,9,7,1,1
CA,2022,7,2022-07-01,82,78,4,0
CA,2022,8,2022-08-01,12,3,9,0
CA,2022,9,2022-09-01,14,1,13,0
CA,2022,10,2022-10-01,18,13,5,0
CA,2022,11,2022-11-01,24,1,3,20
CA,2022,12,2022-12-01,16,3,13,0
CA,2023,1,2023-01-01,12,10,2,0
CA,2023,2,2023-02-01,37,19,16,2
CA,2023,3,2023-03-01,36,12,15,9
CA,2023,4,2023-04-01,4,0,4,0
CA,2023,5,2023-05-01,5,5,0,0
CA,2023,6,2023-06-01,11,7,4,0
CA,2023,7,2023-07-01,10,3,7,0
CA,2023,8,2023-08-01,8,0,7,1
CA,2023,9,2023-09-01,19,12,6,1
CA,2023,10,2023-10-01,75,74,1,0
CA,2023,11,2023-11-01,27,26,1,0
CA,2023,12,2023-12-01,15,10,5,0
CA,2024,1,2024-01-01,20,15,5,0
CA,2024,2,2024-02-01,45,38,7,0
CA,2024,3,2024-03-01,13,4,9,0
CA,2024,4,2024-04-01,15,4,11,0
CA,2024,5,2024-05-01,11,2,8,1
CA,2024,6,2024-06-01,30,23,7,0
CA,2024,7,2024-07-01,2,1,1,0
CA,2024,8,2024-08-01,13,2,11,0
CA,2024,9,2024-09-01,2,1,1,0
CA,2024,10,2024-10-01,9,3,6,0
CA,2024,11,2024-11-01,20,15,5,0
CA,2024,12,2024-12-01,21,16,5,0
CA,2025,1,2025-01-01,13,9,4,0
CA,2025,2,2025-02-01,29,16,13,0
CA,2025,3,2025-03-01,10,2,7,1
CA,2025,4,2025-04-01,8,2,6,0
CA,2025,5,2025-05-01,98,91,6,1
CA,2025,6,2025-06-01,10,2,1,7
